,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
432,"So, that money, which had raced forcibly far upstream of pieces and their implementations, retreated.",02 Journey,Agent,money,,retreated,money,Wealth,retreated,Backward Movement/War,2565136,,
200,"#Republicans hate Americans so much they dismiss 1st graders as casualties of gun rights, but go to any length to protect fetuses.",01 Health and Safety,Threat,gun rights,casualties of [threat],casualties of,gun rights,Gun Rights,casualties,Physical Harm,2378672,,
1199,"The federal lawsuit filed by my opponent's campaign attorney is nothing more than an attempt to protect the system of buying elections and keeping average citizens from participating in the political system, said Loughry.",05 Engineering and Business: Business,Product,elections,,buying,elections,Elections,buying,Business/Resource,2401478,,
1313,"A judicious use of the engine of taxation would, it might be thought, have a similar effect on the disposition of the people.",05 Engineering and Business: Engineering,Component,taxation,engine of [component],engine of,taxation,Taxation,engine,Machine,158652,,
1125,"There's a way to be progressive about our gun rights but saying gun oppression should be equalized with ethnic oppression is uncalled for, especially given the two are apples and oranges anyway.",04 Power and Control: Human,Degree,LOW,,oppression,gun,Guns,oppression,Enslavement,,,
1028,Inequalities created by the victory of wealth continue to trouble the serenity of this social harmony.,03 Conflict,Winner,wealth,,victory,wealth,Wealth,victory,Competition/War,3122740,,
1387,"Even a gun, is a crime if it does not belong to you.",06 Morality and Justice,Crime,gun,,crime,gun,Guns,crime,Crime,2673706,,
705,"Every since then we've had this endless, mindless debate about guns, gun history, the evil NRA, assault weapon use on elementary school children once or twice per century, and many other inane premises used to try and kill gun ownership.",03 Conflict,Enemy,gun ownership,,kill,gun ownership,Guns,kill,Crime/Physical Harm,2890627,,
301,and he ignores the fact that a strong majority of police officers do not support that liberal scheme against gun ownership note he cannot actually proffer a logical argument as to why registration does anything positive why-because the real motivations of those who seek registration is not to stop crime but to incrementally destroy our gun rights,01 Health and Safety,Threatened,gun rights,,destroy,gun rights,Gun Rights,destroy,Natural Physical Force/Physical Harm,2887919,,
1242,I want to make swift and tangible progress on the measure that will strengthen our daily democracy.,05 Engineering and Business: Engineering,Built,democracy,,strengthen,democracy,Democracy,strengthen,Building/Strength,2670051,,
123,"History has demonstrated that citizens in most places most of the time are generally averse to conflicts with long-term costs, and that democracy restrains aggressive rulers.",01 Health and Safety,Threat,democracy,,restrains,democracy,Democracy,restrains,Confinement/Physical Harm,1971835,,
355,"Until last week, in spite of rhetoric stating that one of its principal goals in Colombia is to protect democracy, Washington had remained conspicuously silent regarding the recent anti-democratic maneuvers perpetrated by Colombia's hardliners.",01 Health and Safety,Threatened,democracy,,protect,democracy,Democracy,protect,Protection,2663969,,
248,"Like the Founders and the Framers and lots of other intelligent folks, however, I recognize that an unconstrained 'democracy"" harbors within it the seeds of some serious problems.",01 Health and Safety,Threat,democracy,,harbors,democracy,Democracy,harbors,Physical Harm/Protection,155577,,
706,FRAC (www.frac.org) is the leading national organization working for more effective public and private policies to eradicate domestic hunger and undernutrition.,03 Conflict,Enemy,hunger,,Eradicate,hunger,Poverty,eradicate,Disease,2664279,,
1002,"Welcome to the world of government/military procurement and specifications - bureaucracy wins over performance, price and value every time.",03 Conflict,Winner,bureaucracy,,wins,bureaucracy,Bureaucracy,wins,Competition/Game,3119442,,
701,I'm going to let you in on a little secret: I'm an opponent of gun control.,03 Conflict,Enemy,gun control,,opponent,gun control,Control of Guns,opponent,Competition/Struggle,2669239,,
156,"It is a government-induced poverty pill, which we all shall soon be forced to swallow by force of law.",01 Health and Safety,Threat,poverty,,pill,poverty,Poverty,pill,Medicine,2378310,,
1312,Actually the gun lobby supports the gun business pure and simple.,05 Engineering and Business: Engineering,Component,gun lobby,,supports,gun lobby,Gun Rights,supports,Building,2713991,,
524,Taxes Advanced,02 Journey,Change,Taxes,,Advanced,Taxes,Taxation,Advanced,Forward Movement,2532205,,
